# label: Concepts / Expression & Perception
# Communication, expression, reactions, and the senses — speech acts, sounds, smells, truth/secrecy.
kanji	hiragana	type	english	breakdown
誇張	こちょう	noun	exaggeration	[誇: boast/exaggerate | 張: stretch/exaggerate]
誠意	せいい	noun	sincerity; good faith	[誠: sincerity | 意: meaning/intent]
会談	かいだん	noun	talks; conference	[会: meet/gather | 談: talk/discuss]
雑談	ざつだん	noun	chit-chat; small talk	[雑: miscellaneous | 談: talk/discuss]
冗談	じょうだん	noun	joke; jest	[冗: redundant/superfluous | 談: talk/discuss]
謎解き	なぞとき	noun	solving a riddle/mystery	[謎: riddle/mystery | 解: untie/solve]
謝罪	しゃざい	noun	apology	[謝: apologize/thank | 罪: crime/guilt]
批判	ひはん	noun	criticism; critique	[批: criticize | 判: judge/decide]
謙遜	けんそん	noun	modesty; humility	[謙: humble/modest | 遜: humble/defer]
輝き	かがやき	noun	brilliance; radiance	[輝: shine/sparkle]
釘付け	くぎづけ	noun	being glued/riveted (to the spot)	[釘: nail | 付: attach]
歓声	かんせい	noun	cheer; shout of joy	[歓: joy/delight | 声: voice/sound]
暗闇	くらやみ	noun	darkness; the dark	[暗: dark | 闇: darkness]
音響	おんきょう	noun	sound; acoustics	[音: sound | 響: echo/resound]
反響	はんきょう	noun	echo; repercussion; response	[反: reflect/anti | 響: echo/resound]
沈黙	ちんもく	noun	silence	[沈: sink/silent | 黙: silent/be quiet]
了解	りょうかい	noun	understanding; consent; roger	[了: complete/understand | 解: untie/understand]
警告	けいこく	noun	warning; caution	[警: warn/guard | 告: tell/announce]
静寂	せいじゃく	noun	silence; stillness	[静: quiet/calm | 寂: lonely/still]
予想	よそう	noun	prediction; expectation	[予: beforehand | 想: think/imagine]
号泣	ごうきゅう	noun	wailing; crying loudly	[号: cry out/number | 泣: weep/cry]
笑い	わらい	noun	laughter; laugh	[笑: laugh/smile]
発表	はっぴょう	noun	announcement; presentation	[発: emit/announce | 表: surface/express]
表現	ひょうげん	noun	expression; representation	[表: surface/express | 現: appear/present]
言い訳	いいわけ	noun	excuse; justification	[言: say/word | 訳: reason/explanation]
議論	ぎろん	noun	discussion; argument	[議: discuss/deliberate | 論: argue/theory]
記載	きさい	noun	entry; statement; mention	[記: record/write | 載: load/record]
お辞儀	おじぎ	noun	bow (greeting)	[辞: word/resign | 儀: ceremony/manner]
非難	ひなん	noun	criticism; blame	[非: non-/blame | 難: difficult/blame]
騒音	そうおん	noun	noise	[騒: noise/clamor | 音: sound]
暗黙	あんもく	noun	tacit; implicit	[暗: dark/implicit | 黙: silent]
紹介	しょうかい	noun	introduction; presentation	[紹: introduce | 介: mediate/help]
気遣い	きづかい	noun	consideration; thoughtfulness	[気: spirit/feeling | 遣: send/use]
